"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","test_inventory_page[chromium-standard_user]","tests","2026-08-15","passed","2026-08-15","TestInventory","inventory_test","",""
"","185","Test Accessibility with Custom Counts","tests","2026-08-15","passed","2026-08-15","TestAccessibility","accesability_test","",""
"","412","Test Accessibility with Default Counts","tests","2026-08-15","skipped","2026-08-15","TestAccessibility","accesability_test","",""
"","259","test_checkout_counter[chromium-standard_user]","tests","2026-08-15","failed","2026-08-15","TestCheckout","checkout_test","",""
"","210","Test Accessibility with Custom Counts","tests","2026-08-15","skipped","2026-08-15","TestAccessibility","accesability_test","",""
"","105","Login with invalid credentials test","tests","2026-08-15","passed","2026-08-15","TestLogin","login_test","",""
"","124","Login with invalid credentials test","tests","2026-08-15","passed","2026-08-15","TestLogin","login_test","",""
