"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","135","Login with invalid credentials test","tests","2026-07-11","passed","2026-07-11","TestLogin","login_test","",""
"","1365","Login with invalid credentials test","tests","2026-07-11","passed","2026-07-11","TestLogin","login_test","",""
"","258","test_checkout_counter[chromium-standard_user]","tests","2026-07-11","failed","2026-07-11","TestCheckout","checkout_test","",""
"","168","Test Accessibility with Custom Counts","tests","2026-07-11","skipped","2026-07-11","TestAccessibility","accesability_test","",""
"","173","Test Accessibility with Custom Counts","tests","2026-07-11","passed","2026-07-11","TestAccessibility","accesability_test","",""
"","94","test_inventory_page[chromium-standard_user]","tests","2026-07-11","passed","2026-07-11","TestInventory","inventory_test","",""
"","302","Test Accessibility with Default Counts","tests","2026-07-11","skipped","2026-07-11","TestAccessibility","accesability_test","",""
