"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","test_inventory_page[chromium-standard_user]","tests","2026-07-22","passed","2026-07-22","TestInventory","inventory_test","",""
"","666","Test Accessibility with Default Counts","tests","2026-07-22","skipped","2026-07-22","TestAccessibility","accesability_test","",""
"","218","Test Accessibility with Custom Counts","tests","2026-07-22","skipped","2026-07-22","TestAccessibility","accesability_test","",""
"","381","test_checkout_counter[chromium-standard_user]","tests","2026-07-22","failed","2026-07-22","TestCheckout","checkout_test","",""
"","170","Test Accessibility with Custom Counts","tests","2026-07-22","passed","2026-07-22","TestAccessibility","accesability_test","",""
"","305","Login with invalid credentials test","tests","2026-07-22","passed","2026-07-22","TestLogin","login_test","",""
"","141","Login with invalid credentials test","tests","2026-07-22","passed","2026-07-22","TestLogin","login_test","",""
