"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","test_inventory_page[chromium-standard_user]","tests","Mon Apr 14 00:10:40 GMT 2025","passed","Mon Apr 14 00:10:40 GMT 2025","TestInventory","inventory_test","",""
"","144","Test Accessibility with Custom Counts","tests","Mon Apr 14 00:10:41 GMT 2025","skipped","Mon Apr 14 00:10:41 GMT 2025","TestAccessibility","accesability_test","",""
"","147","Login with invalid credentials test","tests","Mon Apr 14 00:10:41 GMT 2025","passed","Mon Apr 14 00:10:41 GMT 2025","TestLogin","login_test","",""
"","158","Test Accessibility with Default Counts","tests","Mon Apr 14 00:10:40 GMT 2025","skipped","Mon Apr 14 00:10:41 GMT 2025","TestAccessibility","accesability_test","",""
"","163","Test Accessibility with Custom Counts","tests","Mon Apr 14 00:10:41 GMT 2025","passed","Mon Apr 14 00:10:42 GMT 2025","TestAccessibility","accesability_test","",""
"","176","test_checkout_counter[chromium-standard_user]","tests","Mon Apr 14 00:10:42 GMT 2025","failed","Mon Apr 14 00:10:42 GMT 2025","TestCheckout","checkout_test","",""
"","142","Login with invalid credentials test","tests","Mon Apr 14 00:10:41 GMT 2025","passed","Mon Apr 14 00:10:41 GMT 2025","TestLogin","login_test","",""
