"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","181","Test Accessibility with Default Counts","tests","Tue Apr 08 00:57:45 GMT 2025","skipped","Tue Apr 08 00:57:45 GMT 2025","TestAccessibility","accesability_test","",""
"","149","Login with invalid credentials test","tests","Tue Apr 08 00:57:54 GMT 2025","passed","Tue Apr 08 00:57:54 GMT 2025","TestLogin","login_test","",""
"","163","Login with invalid credentials test","tests","Tue Apr 08 00:57:54 GMT 2025","passed","Tue Apr 08 00:57:54 GMT 2025","TestLogin","login_test","",""
"","187","Test Accessibility with Custom Counts","tests","Tue Apr 08 00:57:46 GMT 2025","passed","Tue Apr 08 00:57:46 GMT 2025","TestAccessibility","accesability_test","",""
"","37","test_inventory_page[chromium-standard_user]","tests","Tue Apr 08 00:57:53 GMT 2025","passed","Tue Apr 08 00:57:53 GMT 2025","TestInventory","inventory_test","",""
"","274","test_checkout_counter[chromium-standard_user]","tests","Tue Apr 08 00:57:47 GMT 2025","failed","Tue Apr 08 00:57:48 GMT 2025","TestCheckout","checkout_test","",""
"","163","Test Accessibility with Custom Counts","tests","Tue Apr 08 00:57:46 GMT 2025","skipped","Tue Apr 08 00:57:46 GMT 2025","TestAccessibility","accesability_test","",""
