"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","145","test_inventory_page[chromium-standard_user]","tests","2026-07-09","passed","2026-07-09","TestInventory","inventory_test","",""
"","378","Login with invalid credentials test","tests","2026-07-09","passed","2026-07-09","TestLogin","login_test","",""
"","177","Login with invalid credentials test","tests","2026-07-09","passed","2026-07-09","TestLogin","login_test","",""
"","487","Test Accessibility with Default Counts","tests","2026-07-09","skipped","2026-07-09","TestAccessibility","accesability_test","",""
"","168","Test Accessibility with Custom Counts","tests","2026-07-09","skipped","2026-07-09","TestAccessibility","accesability_test","",""
"","353","test_checkout_counter[chromium-standard_user]","tests","2026-07-09","failed","2026-07-09","TestCheckout","checkout_test","",""
"","176","Test Accessibility with Custom Counts","tests","2026-07-09","passed","2026-07-09","TestAccessibility","accesability_test","",""
