"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","test_inventory_page[chromium-standard_user]","tests","Sun Apr 06 01:02:12 GMT 2025","passed","Sun Apr 06 01:02:12 GMT 2025","TestInventory","inventory_test","",""
"","348","test_checkout_counter[chromium-standard_user]","tests","Sun Apr 06 01:06:18 GMT 2025","failed","Sun Apr 06 01:06:18 GMT 2025","TestCheckout","checkout_test","",""
"","168","Test Accessibility with Custom Counts","tests","Sun Apr 06 01:06:17 GMT 2025","passed","Sun Apr 06 01:06:17 GMT 2025","TestAccessibility","accesability_test","",""
"","450","Test Accessibility with Default Counts","tests","Sun Apr 06 01:06:15 GMT 2025","skipped","Sun Apr 06 01:06:16 GMT 2025","TestAccessibility","accesability_test","",""
"","157","Test Accessibility with Custom Counts","tests","Sun Apr 06 01:06:16 GMT 2025","skipped","Sun Apr 06 01:06:16 GMT 2025","TestAccessibility","accesability_test","",""
"","173","Login with invalid credentials test","tests","Sun Apr 06 01:02:13 GMT 2025","passed","Sun Apr 06 01:02:13 GMT 2025","TestLogin","login_test","",""
"","164","Login with invalid credentials test","tests","Sun Apr 06 01:02:13 GMT 2025","passed","Sun Apr 06 01:02:13 GMT 2025","TestLogin","login_test","",""
