"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","140","Login with invalid credentials test","tests","Wed Mar 12 08:33:06 GMT 2025","passed","Wed Mar 12 08:33:06 GMT 2025","TestLogin","login_test","",""
"","60","test_inventory_page[chromium-standard_user]","tests","Wed Mar 12 08:33:05 GMT 2025","passed","Wed Mar 12 08:33:05 GMT 2025","TestInventory","inventory_test","",""
"","166","Test Accessibility with Custom Counts","tests","Wed Mar 12 08:33:03 GMT 2025","skipped","Wed Mar 12 08:33:03 GMT 2025","TestAccessibility","accesability_test","",""
"","195","Login with valid credentials test","tests","Wed Mar 12 08:33:05 GMT 2025","passed","Wed Mar 12 08:33:05 GMT 2025","TestLogin","login_test","",""
"","150","Login with invalid credentials test","tests","Wed Mar 12 08:33:06 GMT 2025","passed","Wed Mar 12 08:33:06 GMT 2025","TestLogin","login_test","",""
"","154","Test Accessibility with Custom Counts","tests","Wed Mar 12 08:33:03 GMT 2025","passed","Wed Mar 12 08:33:03 GMT 2025","TestAccessibility","accesability_test","",""
"","200","test_checkout_counter[chromium-standard_user]","tests","Wed Mar 12 08:33:04 GMT 2025","failed","Wed Mar 12 08:33:04 GMT 2025","TestCheckout","checkout_test","",""
"","171","Test Accessibility with Default Counts","tests","Wed Mar 12 08:33:02 GMT 2025","skipped","Wed Mar 12 08:33:02 GMT 2025","TestAccessibility","accesability_test","",""
