"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Test Accessibility with Default Counts","tests","2026-07-07","skipped","2026-07-07","TestAccessibility","accesability_test","",""
"","142","Login with invalid credentials test","tests","2026-07-07","passed","2026-07-07","TestLogin","login_test","",""
"","42","test_inventory_page[chromium-standard_user]","tests","2026-07-07","passed","2026-07-07","TestInventory","inventory_test","",""
"","597","Login with invalid credentials test","tests","2026-07-07","passed","2026-07-07","TestLogin","login_test","",""
"","198","test_checkout_counter[chromium-standard_user]","tests","2026-07-07","failed","2026-07-07","TestCheckout","checkout_test","",""
"","156","Test Accessibility with Custom Counts","tests","2026-07-07","skipped","2026-07-07","TestAccessibility","accesability_test","",""
"","183","Test Accessibility with Custom Counts","tests","2026-07-07","passed","2026-07-07","TestAccessibility","accesability_test","",""
