"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","137","Login with invalid credentials test","tests","2026-08-25","passed","2026-08-25","TestLogin","login_test","",""
"","178","Test Accessibility with Custom Counts","tests","2026-08-25","passed","2026-08-25","TestAccessibility","accesability_test","",""
"","229","Test Accessibility with Default Counts","tests","2026-08-25","skipped","2026-08-25","TestAccessibility","accesability_test","",""
"","161","Test Accessibility with Custom Counts","tests","2026-08-25","skipped","2026-08-25","TestAccessibility","accesability_test","",""
"","314","test_checkout_counter[chromium-standard_user]","tests","2026-08-25","failed","2026-08-25","TestCheckout","checkout_test","",""
"","309","Login with invalid credentials test","tests","2026-08-25","passed","2026-08-25","TestLogin","login_test","",""
"","64","test_inventory_page[chromium-standard_user]","tests","2026-08-25","passed","2026-08-25","TestInventory","inventory_test","",""
