"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","164","Test Accessibility with Custom Counts","tests","2026-08-08","skipped","2026-08-08","TestAccessibility","accesability_test","",""
"","350","Login with invalid credentials test","tests","2026-08-08","passed","2026-08-08","TestLogin","login_test","",""
"","199","test_checkout_counter[chromium-standard_user]","tests","2026-08-08","failed","2026-08-08","TestCheckout","checkout_test","",""
"","92","test_inventory_page[chromium-standard_user]","tests","2026-08-08","passed","2026-08-08","TestInventory","inventory_test","",""
"","275","Test Accessibility with Default Counts","tests","2026-08-08","skipped","2026-08-08","TestAccessibility","accesability_test","",""
"","197","Test Accessibility with Custom Counts","tests","2026-08-08","passed","2026-08-08","TestAccessibility","accesability_test","",""
"","167","Login with invalid credentials test","tests","2026-08-08","passed","2026-08-08","TestLogin","login_test","",""
