"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","test_checkout_counter[chromium-standard_user]","tests","Thu Apr 30 00:27:44 UTC 2026","failed","Thu Apr 30 00:27:44 UTC 2026","TestCheckout","checkout_test","",""
"","179","Test Accessibility with Custom Counts","tests","Thu Apr 30 00:27:42 UTC 2026","skipped","Thu Apr 30 00:27:43 UTC 2026","TestAccessibility","accesability_test","",""
"","54","test_inventory_page[chromium-standard_user]","tests","Thu Apr 30 00:27:47 UTC 2026","passed","Thu Apr 30 00:27:47 UTC 2026","TestInventory","inventory_test","",""
"","185","Test Accessibility with Custom Counts","tests","Thu Apr 30 00:27:43 UTC 2026","passed","Thu Apr 30 00:27:43 UTC 2026","TestAccessibility","accesability_test","",""
"","192","Test Accessibility with Default Counts","tests","Thu Apr 30 00:27:42 UTC 2026","skipped","Thu Apr 30 00:27:42 UTC 2026","TestAccessibility","accesability_test","",""
"","196","Login with invalid credentials test","tests","Thu Apr 30 00:27:48 UTC 2026","passed","Thu Apr 30 00:27:48 UTC 2026","TestLogin","login_test","",""
"","145","Login with invalid credentials test","tests","Thu Apr 30 00:27:48 UTC 2026","passed","Thu Apr 30 00:27:48 UTC 2026","TestLogin","login_test","",""
