"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","176","Test Accessibility with Custom Counts","tests","2026-08-13","skipped","2026-08-13","TestAccessibility","accesability_test","",""
"","353","Test Accessibility with Default Counts","tests","2026-08-13","skipped","2026-08-13","TestAccessibility","accesability_test","",""
"","157","test_inventory_page[chromium-standard_user]","tests","2026-08-13","passed","2026-08-13","TestInventory","inventory_test","",""
"","355","test_checkout_counter[chromium-standard_user]","tests","2026-08-13","failed","2026-08-13","TestCheckout","checkout_test","",""
"","182","Login with invalid credentials test","tests","2026-08-13","passed","2026-08-13","TestLogin","login_test","",""
"","1770","Login with invalid credentials test","tests","2026-08-13","passed","2026-08-13","TestLogin","login_test","",""
"","173","Test Accessibility with Custom Counts","tests","2026-08-13","passed","2026-08-13","TestAccessibility","accesability_test","",""
