"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","Login with invalid credentials test","tests","2026-09-15","passed","2026-09-15","TestLogin","login_test","",""
"","196","test_checkout_counter[chromium-standard_user]","tests","2026-09-15","failed","2026-09-15","TestCheckout","checkout_test","",""
"","222","Test Accessibility with Custom Counts","tests","2026-09-15","passed","2026-09-15","TestAccessibility","accesability_test","",""
"","228","Test Accessibility with Custom Counts","tests","2026-09-15","skipped","2026-09-15","TestAccessibility","accesability_test","",""
"","116","test_inventory_page[chromium-standard_user]","tests","2026-09-15","passed","2026-09-15","TestInventory","inventory_test","",""
"","392","Login with invalid credentials test","tests","2026-09-15","passed","2026-09-15","TestLogin","login_test","",""
"","219","Test Accessibility with Default Counts","tests","2026-09-15","skipped","2026-09-15","TestAccessibility","accesability_test","",""
