"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","test_inventory_page[chromium-standard_user]","tests","Wed May 13 00:31:29 UTC 2026","passed","Wed May 13 00:31:29 UTC 2026","TestInventory","inventory_test","",""
"","200","Test Accessibility with Custom Counts","tests","Wed May 13 00:31:23 UTC 2026","passed","Wed May 13 00:31:24 UTC 2026","TestAccessibility","accesability_test","",""
"","282","test_checkout_counter[chromium-standard_user]","tests","Wed May 13 00:31:24 UTC 2026","failed","Wed May 13 00:31:24 UTC 2026","TestCheckout","checkout_test","",""
"","148","Login with invalid credentials test","tests","Wed May 13 00:31:30 UTC 2026","passed","Wed May 13 00:31:30 UTC 2026","TestLogin","login_test","",""
"","168","Test Accessibility with Custom Counts","tests","Wed May 13 00:31:23 UTC 2026","skipped","Wed May 13 00:31:23 UTC 2026","TestAccessibility","accesability_test","",""
"","282","Test Accessibility with Default Counts","tests","Wed May 13 00:31:22 UTC 2026","skipped","Wed May 13 00:31:22 UTC 2026","TestAccessibility","accesability_test","",""
"","180","Login with invalid credentials test","tests","Wed May 13 00:31:30 UTC 2026","passed","Wed May 13 00:31:30 UTC 2026","TestLogin","login_test","",""
