"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","test_inventory_page[chromium-standard_user]","tests","2026-07-12","passed","2026-07-12","TestInventory","inventory_test","",""
"","163","Login with invalid credentials test","tests","2026-07-12","passed","2026-07-12","TestLogin","login_test","",""
"","186","Test Accessibility with Custom Counts","tests","2026-07-12","skipped","2026-07-12","TestAccessibility","accesability_test","",""
"","230","test_checkout_counter[chromium-standard_user]","tests","2026-07-12","failed","2026-07-12","TestCheckout","checkout_test","",""
"","330","Login with invalid credentials test","tests","2026-07-12","passed","2026-07-12","TestLogin","login_test","",""
"","318","Test Accessibility with Default Counts","tests","2026-07-12","skipped","2026-07-12","TestAccessibility","accesability_test","",""
"","187","Test Accessibility with Custom Counts","tests","2026-07-12","passed","2026-07-12","TestAccessibility","accesability_test","",""
