"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","148","Test Accessibility with Default Counts","tests","Sat Apr 05 00:57:01 GMT 2025","skipped","Sat Apr 05 00:57:01 GMT 2025","TestAccessibility","accesability_test","",""
"","173","Test Accessibility with Custom Counts","tests","Sat Apr 05 00:57:02 GMT 2025","passed","Sat Apr 05 00:57:02 GMT 2025","TestAccessibility","accesability_test","",""
"","157","Test Accessibility with Custom Counts","tests","Sat Apr 05 00:57:02 GMT 2025","skipped","Sat Apr 05 00:57:02 GMT 2025","TestAccessibility","accesability_test","",""
"","160","Login with invalid credentials test","tests","Sat Apr 05 00:57:41 GMT 2025","passed","Sat Apr 05 00:57:41 GMT 2025","TestLogin","login_test","",""
"","294","Login with invalid credentials test","tests","Sat Apr 05 00:57:40 GMT 2025","passed","Sat Apr 05 00:57:40 GMT 2025","TestLogin","login_test","",""
"","308","test_checkout_counter[chromium-standard_user]","tests","Sat Apr 05 00:57:03 GMT 2025","failed","Sat Apr 05 00:57:03 GMT 2025","TestCheckout","checkout_test","",""
"","40","test_inventory_page[chromium-standard_user]","tests","Sat Apr 05 00:57:39 GMT 2025","passed","Sat Apr 05 00:57:39 GMT 2025","TestInventory","inventory_test","",""
