"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","157","Test Accessibility with Custom Counts","tests","2026-07-08","passed","2026-07-08","TestAccessibility","accesability_test","",""
"","309","test_checkout_counter[chromium-standard_user]","tests","2026-07-08","failed","2026-07-08","TestCheckout","checkout_test","",""
"","159","Login with invalid credentials test","tests","2026-07-08","passed","2026-07-08","TestLogin","login_test","",""
"","290","Login with invalid credentials test","tests","2026-07-08","passed","2026-07-08","TestLogin","login_test","",""
"","247","Test Accessibility with Default Counts","tests","2026-07-08","skipped","2026-07-08","TestAccessibility","accesability_test","",""
"","158","Test Accessibility with Custom Counts","tests","2026-07-08","skipped","2026-07-08","TestAccessibility","accesability_test","",""
"","114","test_inventory_page[chromium-standard_user]","tests","2026-07-08","passed","2026-07-08","TestInventory","inventory_test","",""
