"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180","Test Accessibility with Custom Counts","tests","Sat Mar 22 00:09:58 GMT 2025","skipped","Sat Mar 22 00:09:58 GMT 2025","TestAccessibility","accesability_test","",""
"","143","Login with invalid credentials test","tests","Sat Mar 22 00:09:45 GMT 2025","passed","Sat Mar 22 00:09:45 GMT 2025","TestLogin","login_test","",""
"","49","test_inventory_page[chromium-standard_user]","tests","Sat Mar 22 00:09:45 GMT 2025","passed","Sat Mar 22 00:09:45 GMT 2025","TestInventory","inventory_test","",""
"","152","Login with invalid credentials test","tests","Sat Mar 22 00:09:45 GMT 2025","passed","Sat Mar 22 00:09:46 GMT 2025","TestLogin","login_test","",""
"","175","Test Accessibility with Default Counts","tests","Sat Mar 22 00:09:57 GMT 2025","skipped","Sat Mar 22 00:09:57 GMT 2025","TestAccessibility","accesability_test","",""
"","177","Test Accessibility with Custom Counts","tests","Sat Mar 22 00:09:58 GMT 2025","passed","Sat Mar 22 00:09:59 GMT 2025","TestAccessibility","accesability_test","",""
"","172","test_checkout_counter[chromium-standard_user]","tests","Sat Mar 22 00:09:59 GMT 2025","failed","Sat Mar 22 00:09:59 GMT 2025","TestCheckout","checkout_test","",""
