"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","166","Login with invalid credentials test","tests","Fri Apr 04 00:57:18 GMT 2025","passed","Fri Apr 04 00:57:18 GMT 2025","TestLogin","login_test","",""
"","141","Login with invalid credentials test","tests","Fri Apr 04 00:57:19 GMT 2025","passed","Fri Apr 04 00:57:19 GMT 2025","TestLogin","login_test","",""
"","183","Test Accessibility with Custom Counts","tests","Fri Apr 04 00:57:38 GMT 2025","passed","Fri Apr 04 00:57:39 GMT 2025","TestAccessibility","accesability_test","",""
"","154","Test Accessibility with Custom Counts","tests","Fri Apr 04 00:57:38 GMT 2025","skipped","Fri Apr 04 00:57:38 GMT 2025","TestAccessibility","accesability_test","",""
"","40","test_inventory_page[chromium-standard_user]","tests","Fri Apr 04 00:57:18 GMT 2025","passed","Fri Apr 04 00:57:18 GMT 2025","TestInventory","inventory_test","",""
"","296","test_checkout_counter[chromium-standard_user]","tests","Fri Apr 04 00:57:39 GMT 2025","failed","Fri Apr 04 00:57:39 GMT 2025","TestCheckout","checkout_test","",""
"","253","Test Accessibility with Default Counts","tests","Fri Apr 04 00:57:37 GMT 2025","skipped","Fri Apr 04 00:57:37 GMT 2025","TestAccessibility","accesability_test","",""
