"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","245","Test Accessibility with Default Counts","tests","Mon May 18 00:31:08 UTC 2026","skipped","Mon May 18 00:31:08 UTC 2026","TestAccessibility","accesability_test","",""
"","171","Login with invalid credentials test","tests","Mon May 18 00:30:52 UTC 2026","passed","Mon May 18 00:30:52 UTC 2026","TestLogin","login_test","",""
"","48","test_inventory_page[chromium-standard_user]","tests","Mon May 18 00:30:51 UTC 2026","passed","Mon May 18 00:30:51 UTC 2026","TestInventory","inventory_test","",""
"","168","Test Accessibility with Custom Counts","tests","Mon May 18 00:31:08 UTC 2026","skipped","Mon May 18 00:31:09 UTC 2026","TestAccessibility","accesability_test","",""
"","259","Login with invalid credentials test","tests","Mon May 18 00:30:52 UTC 2026","passed","Mon May 18 00:30:52 UTC 2026","TestLogin","login_test","",""
"","189","test_checkout_counter[chromium-standard_user]","tests","Mon May 18 00:31:10 UTC 2026","failed","Mon May 18 00:31:10 UTC 2026","TestCheckout","checkout_test","",""
"","167","Test Accessibility with Custom Counts","tests","Mon May 18 00:31:09 UTC 2026","passed","Mon May 18 00:31:09 UTC 2026","TestAccessibility","accesability_test","",""
