"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","test_inventory_page[chromium-standard_user]","tests","Mon Apr 07 01:00:09 GMT 2025","passed","Mon Apr 07 01:00:09 GMT 2025","TestInventory","inventory_test","",""
"","162","Test Accessibility with Custom Counts","tests","Mon Apr 07 00:59:40 GMT 2025","skipped","Mon Apr 07 00:59:40 GMT 2025","TestAccessibility","accesability_test","",""
"","167","Test Accessibility with Default Counts","tests","Mon Apr 07 00:59:40 GMT 2025","skipped","Mon Apr 07 00:59:40 GMT 2025","TestAccessibility","accesability_test","",""
"","156","test_checkout_counter[chromium-standard_user]","tests","Mon Apr 07 00:59:41 GMT 2025","failed","Mon Apr 07 00:59:41 GMT 2025","TestCheckout","checkout_test","",""
"","168","Login with invalid credentials test","tests","Mon Apr 07 01:00:10 GMT 2025","passed","Mon Apr 07 01:00:10 GMT 2025","TestLogin","login_test","",""
"","174","Test Accessibility with Custom Counts","tests","Mon Apr 07 00:59:41 GMT 2025","passed","Mon Apr 07 00:59:41 GMT 2025","TestAccessibility","accesability_test","",""
"","147","Login with invalid credentials test","tests","Mon Apr 07 01:00:10 GMT 2025","passed","Mon Apr 07 01:00:10 GMT 2025","TestLogin","login_test","",""
