"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246","Test Accessibility with Default Counts","tests","Fri Mar 21 00:11:32 GMT 2025","skipped","Fri Mar 21 00:11:32 GMT 2025","TestAccessibility","accesability_test","",""
"","4582","Login with invalid credentials test","tests","Fri Mar 21 00:09:48 GMT 2025","passed","Fri Mar 21 00:09:53 GMT 2025","TestLogin","login_test","",""
"","29","test_inventory_page[chromium-standard_user]","tests","Fri Mar 21 00:09:48 GMT 2025","passed","Fri Mar 21 00:09:48 GMT 2025","TestInventory","inventory_test","",""
"","188","Test Accessibility with Custom Counts","tests","Fri Mar 21 00:11:33 GMT 2025","passed","Fri Mar 21 00:11:33 GMT 2025","TestAccessibility","accesability_test","",""
"","164","Test Accessibility with Custom Counts","tests","Fri Mar 21 00:11:33 GMT 2025","skipped","Fri Mar 21 00:11:33 GMT 2025","TestAccessibility","accesability_test","",""
"","158","Login with invalid credentials test","tests","Fri Mar 21 00:09:53 GMT 2025","passed","Fri Mar 21 00:09:54 GMT 2025","TestLogin","login_test","",""
"","170","test_checkout_counter[chromium-standard_user]","tests","Fri Mar 21 00:11:34 GMT 2025","failed","Fri Mar 21 00:11:34 GMT 2025","TestCheckout","checkout_test","",""
