"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Login with invalid credentials test","tests","2026-06-22","passed","2026-06-22","TestLogin","login_test","",""
"","182","Test Accessibility with Default Counts","tests","2026-06-22","skipped","2026-06-22","TestAccessibility","accesability_test","",""
"","241","test_checkout_counter[chromium-standard_user]","tests","2026-06-22","failed","2026-06-22","TestCheckout","checkout_test","",""
"","181","Test Accessibility with Custom Counts","tests","2026-06-22","skipped","2026-06-22","TestAccessibility","accesability_test","",""
"","59","test_inventory_page[chromium-standard_user]","tests","2026-06-22","passed","2026-06-22","TestInventory","inventory_test","",""
"","174","Login with invalid credentials test","tests","2026-06-22","passed","2026-06-22","TestLogin","login_test","",""
"","181","Test Accessibility with Custom Counts","tests","2026-06-22","passed","2026-06-22","TestAccessibility","accesability_test","",""
