"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","Test Accessibility with Default Counts","tests","2026-09-02","skipped","2026-09-02","TestAccessibility","accesability_test","",""
"","186","Test Accessibility with Custom Counts","tests","2026-09-02","passed","2026-09-02","TestAccessibility","accesability_test","",""
"","237","Login with invalid credentials test","tests","2026-09-02","passed","2026-09-02","TestLogin","login_test","",""
"","425","test_checkout_counter[chromium-standard_user]","tests","2026-09-02","failed","2026-09-02","TestCheckout","checkout_test","",""
"","124","Login with invalid credentials test","tests","2026-09-02","passed","2026-09-02","TestLogin","login_test","",""
"","194","Test Accessibility with Custom Counts","tests","2026-09-02","skipped","2026-09-02","TestAccessibility","accesability_test","",""
"","46","test_inventory_page[chromium-standard_user]","tests","2026-09-02","passed","2026-09-02","TestInventory","inventory_test","",""
