"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","206","test_checkout_counter[chromium-standard_user]","tests","Thu Apr 03 01:00:01 GMT 2025","failed","Thu Apr 03 01:00:01 GMT 2025","TestCheckout","checkout_test","",""
"","366","Test Accessibility with Default Counts","tests","Thu Apr 03 00:59:59 GMT 2025","skipped","Thu Apr 03 00:59:59 GMT 2025","TestAccessibility","accesability_test","",""
"","33","test_inventory_page[chromium-standard_user]","tests","Thu Apr 03 00:58:05 GMT 2025","passed","Thu Apr 03 00:58:05 GMT 2025","TestInventory","inventory_test","",""
"","165","Test Accessibility with Custom Counts","tests","Thu Apr 03 01:00:00 GMT 2025","passed","Thu Apr 03 01:00:00 GMT 2025","TestAccessibility","accesability_test","",""
"","642","Login with invalid credentials test","tests","Thu Apr 03 00:58:08 GMT 2025","passed","Thu Apr 03 00:58:09 GMT 2025","TestLogin","login_test","",""
"","130","Login with invalid credentials test","tests","Thu Apr 03 00:58:09 GMT 2025","passed","Thu Apr 03 00:58:10 GMT 2025","TestLogin","login_test","",""
"","156","Test Accessibility with Custom Counts","tests","Thu Apr 03 01:00:00 GMT 2025","skipped","Thu Apr 03 01:00:00 GMT 2025","TestAccessibility","accesability_test","",""
