"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187","Test Accessibility with Custom Counts","tests","Sat May 02 00:42:07 UTC 2026","passed","Sat May 02 00:42:07 UTC 2026","TestAccessibility","accesability_test","",""
"","161","Login with invalid credentials test","tests","Sat May 02 00:39:36 UTC 2026","passed","Sat May 02 00:39:36 UTC 2026","TestLogin","login_test","",""
"","328","test_checkout_counter[chromium-standard_user]","tests","Sat May 02 00:42:07 UTC 2026","failed","Sat May 02 00:42:08 UTC 2026","TestCheckout","checkout_test","",""
"","190","Test Accessibility with Custom Counts","tests","Sat May 02 00:42:06 UTC 2026","skipped","Sat May 02 00:42:06 UTC 2026","TestAccessibility","accesability_test","",""
"","34","test_inventory_page[chromium-standard_user]","tests","Sat May 02 00:39:35 UTC 2026","passed","Sat May 02 00:39:35 UTC 2026","TestInventory","inventory_test","",""
"","175","Login with invalid credentials test","tests","Sat May 02 00:39:36 UTC 2026","passed","Sat May 02 00:39:36 UTC 2026","TestLogin","login_test","",""
"","277","Test Accessibility with Default Counts","tests","Sat May 02 00:42:05 UTC 2026","skipped","Sat May 02 00:42:05 UTC 2026","TestAccessibility","accesability_test","",""
