"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4680","Login with invalid credentials test","tests","Sat Mar 29 00:56:26 GMT 2025","passed","Sat Mar 29 00:56:31 GMT 2025","TestLogin","login_test","",""
"","182","test_checkout_counter[chromium-standard_user]","tests","Sat Mar 29 00:56:24 GMT 2025","failed","Sat Mar 29 00:56:24 GMT 2025","TestCheckout","checkout_test","",""
"","155","Login with invalid credentials test","tests","Sat Mar 29 00:56:31 GMT 2025","passed","Sat Mar 29 00:56:31 GMT 2025","TestLogin","login_test","",""
"","38","test_inventory_page[chromium-standard_user]","tests","Sat Mar 29 00:56:26 GMT 2025","passed","Sat Mar 29 00:56:26 GMT 2025","TestInventory","inventory_test","",""
"","166","Test Accessibility with Custom Counts","tests","Sat Mar 29 00:56:24 GMT 2025","passed","Sat Mar 29 00:56:24 GMT 2025","TestAccessibility","accesability_test","",""
"","132","Test Accessibility with Default Counts","tests","Sat Mar 29 00:56:22 GMT 2025","skipped","Sat Mar 29 00:56:23 GMT 2025","TestAccessibility","accesability_test","",""
"","155","Test Accessibility with Custom Counts","tests","Sat Mar 29 00:56:23 GMT 2025","skipped","Sat Mar 29 00:56:23 GMT 2025","TestAccessibility","accesability_test","",""
